QID1	Position	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Comments	Gender	LGBTQ	UnderRep	Black	Asian	LatinX	MiddleEast	Native	HawaiiPI	White	Other	Ethnicity.text	Disability	Military	Academic_Class	Staff_wStudents	Faculty_rank	Faculty_appoint	Gender.exp	LGBTQ.text	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q19_1	Q19_4	Q19_5	Q19_6	Q19_7	Q19_8	Q19_9	Q19_10	Q19_11	Q19_12	Q19_13	Q19_14	Disability.text	role		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	2	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	4	2	2	4	4	4	4	4	3	3	4	4	4	4	4	3		3		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	5	5	5	5	5	5	5	5	5	4	5	5	5	5		5		Cisgender Woman*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4		4	4	3	3		3	4	4	4	4		4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	1	2	3	1	1	1	1	3	3	2	2	3	2	2	1	2	2		2		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	5	5	4	5	3	3	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	3	3	4	4	3	4	4	3	5	4	4	5	4	3		3	"I personally don't feel a strong connection towards the Cockrell School. Maybe it is because I am not as engaged (in multiple clubs, etc.), but it just seems like I am taking classes through the school because I desire the degree within it, not so much that it is welcoming nor inviting."	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4		3		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5				Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	2	1	3	3	3	3	4	3	4	2	4	4	3	3	3		3		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	5	4	4	4	4	5	3	3	4	5	5	5	5	5	5	5		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	3	2	2	3	2	3	4	3	4	3	4	4	4	4	4		3			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Not applicable to my position	Instructional faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	3	3	2	2	3	4	2	4	4	2	4	3	4	3	4	2			"Question 1- while the resources are possibly out there they are not easily accessible. 
Question 5- I do not feel that myself our my direct reports are viewed as part of the Cockrell school. And our primary department is the CSE.
Question 6- Respect from faculty maybe a 3rd of them respect me in my current position the others question who I am and why am I contacting them.
Question 8- Student respect, if COVID has confirmed anything it is that the majority of students do not respect staff.
Question 11- I do not feel that the CSE is fair to all staff. They seem to make up the rules as the go more often than not.
Question 13- The CSE does accept different ideas at times but only after they have tried all theirs and they have failed.
Question 17- I feel that over time respect from your supervisor can be earned hopefully leading to their support in times of need. I still don't get the support from my supervisor that is needed in trying times. I often wonder if he is on my side at all."	Cisgender Man*	No	Yes	0	0	0	0	1	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	2	2	4	4	3	4	4	3	4	4	4	4	4	3	3		4	Didn't feel super valued after my transfer application got rejected	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	2	2	5	1	2	5	3	2	4	3	5	3	4	5	1	5		5		Cisgender Woman*	No	Yes	1	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	4	4	3	4	4	3	4	4	4	4	4	5	5	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4		4			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5		5		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	4	4	4	5	5	5	5	5	5	5	4	5		5	Overall I feel at home at Cockrell	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4		4	4	4	4	3	4	3	4	4	4	4		4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	3	4	2	3	4	5	3	2	5	4	5	5	5	2			2		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	5	4	4	4	4	4		4	4	4	5	4	4	5	4	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	4	3	3	3	3	5	5	3	5	3	3	3	3	5	4		3		I think that overall UT is a pretty good place to work.  The university should work harder though to shed the legacy of its segregated/racist past.  There are also cliques and favorites amongst administrators and it is well known that the only way to get a significant raise is to go out and get an outside offer and threaten to leave.  That fosters some toxicity.	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	5	5	5	3	5	5	4	4	4	4	4	4	5	5	4		4	n/a	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	4	4	5	4	5	5	4	5	4	5	4	4	3	4	4		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	4	5	4	4	5	4	4	4	4	3	4	4	4	5		5		faculty diversity still needs work with respect to URM faculty	Cisgender Woman*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	5	5	5	5	5	4	4	4	4	4	4	5	5	4	3	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I am currently serving or formerly served in the military forces of another government	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	3	4	4	4	4	4	4	4	4	4	4	4	5	4	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served		No											Attention Deficit/Hyperactivity Disorder					Chronic Illness/Medical Condition	Mental Health/Psychological Condition						Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	1	4	4	4	4	4	4	4	4	4	4	5	4	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3		3	Feel like Asian graduate students are quite neglected in terms of award and sponsorship	Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5		5		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	5	5	5	5	5	5	5	5	3	5	5	5	4			5		#16 is irrelevant to me	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5			"I believe Cockrell School of Engineering can do more to improve diversity  (underrepresented minorities and women), especially in the context of researchers. I would be willing to participate in activities geared towards achieving this."	Cisgender Man*	No	No	0	1	0	0	0	0	0	TRUE	Asian is a a very broad term and doesn't represent a single race or ethnicity.  There can be underrepresented minority groups within  (I am not one of them)	"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	4	4	5	4	5	4	4	5	4	3	4	4	5	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	4	2		1	3	4			2	2	4	4	4	3	2				Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	5	5	4	4	5	5	5	4	3	5	5	4	5	5	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	4	4	4	3	4	4	3	4	4	2	3	3	4	4		5			Cisgender Man*	No	No	0	0	0	1	0	0	0	FALSE		"No, I do not have a disability"	I have never served			Assistant	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	5	4	5	5	5	5	4	5	5	5	4	4	5	5	5	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	3	3	4	4	4	4	3	3	4	4	5	4	4	3	2		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	4	5	5	4	5	5	4	5	4	5	4	5	5	5	4		5	I think the Cockrell School of Engineering does encourage students to make them feel included and like they can succeed within engineering. there are a variety of resources like WEP and others that look out for me and want me to succeed. I think they could do more for student's mental health awareness (e.g. more counselors). I have heard from some students experiencing microagressions from professors but personally have never really epxeirenced it from a faculty within the cockrell school.	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	3	4	4	3	4	4	4	3	1	1	2	2	5	5	2		4	"I do not know of any LGBT students, faculty, or staff."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	4	5	4	5	3	5	5		5	"Avoid ""discrimination by low expectations"" which is what happens if you spend a disproportionate amount of time sending emails like ""congratulate our women in engineering"" or ""congratulate Black engineers"" as if it's surprising that they are successful."	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	3	5	5	4	4	5	4	5	5	3	4	4	5	5	4		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	3	4	3	3	4	3	4	4	4	3	4	3	3	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	2	1	2	3	3	3	3	1	3		1	2	3	4	1		1	"I honestly don’t know who my primary supervisor is. I don’t believe there is any access to guidance in the M E department, so much so that I don’t think any staff knows my name."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	4	4	4	3	2	5	4	4	2	5	4	4	5	1			4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5			5		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served	Master's student																Cognitive or Learning Disability								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	5	4	4	4	4	4	4	4	4	3	3	4	3	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	1	3	3	3	3	4	4	4	3	5	2	3	4	4	4	2	4				Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	3	3	4	4	4	4	4	5	4	4	4	4	3	4		4			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	"I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard"			Not applicable to my position	Instructional faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	5	3	4	4	4	4	4	4	4	4	4	4	5	5	4		4		Cisgender Man*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	5	4	4	4	4	4	3	4	4	4	4	5	5	5		5		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	4	3	3	4	4	4	4	4	4	4	4	4	5	5	4				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	3	4	4	4	4	4	4	4	5	5	4		5		Cisgender Man*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	2	4	4	4	4	4	4	4	4	4	4	4	1	4		2		Cisgender Man*	No	Yes	1	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5		5	"All of the people that I have spoken with at Cockrell have been very kind, understanding, and helpful. All of the professors I have spoken with are fantastic. The same can be said for the faculty I've met with."	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5		5			Cisgender Man*	No	No	0	0	0	1	0	0	1	FALSE		"No, I do not have a disability"	I am currently serving or formerly served in the military forces of another government			Assistant	Research faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5			"I am new, however, I have felt more respected, more valued, and more supported by all of the staff in the last 4 months than I ever did in the previous department (BEG) I worked  for the last 12 years. It has been a complete 180."	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	2	2	4	4	4	5	4	5	3	5	3	4	4	4	4	4		4	"A lot of the resources available to me are either mostly unnecessary in day to day life or hard to get access to (at least at the moment). For example, I haven't ever needed the library or the online resources for any classes, but I have needed the makerspace and it's always crowded (understandably so), and even then the tool access is limited"	Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served	3rd year undergraduate																	Chronic Illness/Medical Condition							Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	2	3	2	4	4	5	5	4	5	4	3	4	4	5	4	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	5	3	4	5	5	4	5	3	4	4	4	5	4	5				Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	5	5	5	5	4	5	5	5	5	5	5	4		5		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	3	4	4	4	4	4	3	4	4	4	4	5	4	3		4	"The demographic is still mainly male, but I feel that in upcoming years there will be more females in engineering. And for the most part, the school of engineering is a welcoming environment for girls of different backgrounds."	Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	3	3	4	4	5	4	4	4	5	5	4	5	5	5	5		5		Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	2	2	2	4	3	4	5	4	5	2	2	3	3	5	4	2							0	0	0	0	0	0	0	FALSE					Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	5	5	4	3	5	3	4	5	4	3	4	4	4	4	5				Cisgender Woman*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	4	4	5	4	5	5	5	5	5	5	5		4		Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"Yes, I have a disability"	I have never served	1st year undergraduate																	Chronic Illness/Medical Condition					Other (please specify):	I have a chronic autoimmune illness that impacts my cognitive capabilities.	Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	5	5	5		4	5	4	5	5	5	3	5		5		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	2	1	1	1	1	3	2	5	1	5	1	1	1	1	5	1	1							0	0	0	0	0	0	0	FALSE					No																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	3	3	3	2	4	4	5	3	3	4	3	2	2	5	3		3		I find the College to have a high level of conformity... especially with a strong bias towards middle and upper middle class.  Diversity is far more than just race.  Racial diversity means nothing if it is only composed of people who are only superficially diverse.  I see many students feel demoralized and marginalized because they are from struggling backgrounds or do not fit a traditional engineering mold.  There are a million subtle things around them that reinforce they don't fit in and they suffer from it.	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Not applicable to my position	Instructional faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	4	4	3	3	4	1	3	3	4	3	4	3	4	2	4	4		4	"The staffs in ASE/EM, especially Tina, do things very very slowly."	Cisgender Man*	No		0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	3	5	5	5	4	5	5	5	5	3	2	3	3	5	4	5			"CSE needs to reach out to diverse communities and find ugrad students, grad students, and faculty. The excuse of not having diverse applicants is tired and old. Get rid of standardized testing requirements for good. Support incredible students and researchers in tangible ways who don't fall into the white male norm in terms of background or family life. Extend tenure as needed, insist on the same level of service from all professors, and allow rich career paths that are non-traditional for researcher staff."	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	4	2	5	2	2	1	2	2	4	4	2	1	2	5	4		1			Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"		2	2	2		2		2		2	3	1			2	2	2				Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	2	3	3	2	5	5	4	3	3	4	4	4	3	4	2		3		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	4	4	5	5	4	4	4	4	5	5	5	5	5	5	5	5				Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	4	4	5	5	5	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	3	2	3	4	4	5	4	5	2	4	2	3	5	5		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I am currently serving or formerly served in the military forces of another government			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	5	3	3	4	4	5	4	4	4	4	4	3		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
